  'hwy': '25',
  'manufacturer': 'audi',
  'model': 'a4 quattro',
  'trans': 'manual(m6)',
  'year': '2008'},
 {'': '16',
  'class': 'midsize',
  'cty': '15',
  'cyl': '6',
  'displ': '2.8',
  'drv': '4',
  'fl': 'p',
  'hwy': '24',
  'manufacturer': 'audi',
  'model': 'a6 quattro',
  'trans': 'auto(l5)',
  'year': '1999'},
 {'': '17',
  'class': 'midsize',
  'cty': '17',
  'cyl': '6',
  'displ': '3.1',
  'drv': '4',
  'fl': 'p',
  'hwy': '25',
  'manufacturer': 'audi',
  'model': 'a6 quattro',
  'trans': 'auto(s6)',
  'year': '2008'},
 {'': '18',
  'class': 'midsize',
  'cty': '16',
  'cyl': '8',
  'displ': '4.2',
  'drv': '4',
  'fl': 'p',
  'hwy': '23',
  'manufacturer': 'audi',
  'model': 'a6 quattro',
  'trans': 'auto(s6)',
  'year': '2008'},
 {'': '19',
  'class': 'suv',
  'cty': '14',
  'cyl': '8',
  'displ': '5.3',
  'drv': 'r',
  'fl': 'r',
  'hwy': '20',
  'manufacturer': 'chevrolet',
  'model': 'c1500 suburban 2wd',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '20',
  'class': 'suv',
  'cty': '11',
  'cyl': '8',
  'displ': '5.3',
  'drv': 'r',
  'fl': 'e',
  'hwy': '15',
  'manufacturer': 'chevrolet',
  'model': 'c1500 suburban 2wd',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '21',
  'class': 'suv',
  'cty': '14',
  'cyl': '8',
  'displ': '5.3',
  'drv': 'r',
  'fl': 'r',
  'hwy': '20',
  'manufacturer': 'chevrolet',
  'model': 'c1500 suburban 2wd',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '22',
  'class': 'suv',
  'cty': '13',
  'cyl': '8',
  'displ': '5.7',
  'drv': 'r',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'chevrolet',
  'model': 'c1500 suburban 2wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '23',
  'class': 'suv',
  'cty': '12',
  'cyl': '8',
  'displ': '6',
  'drv': 'r',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'chevrolet',
  'model': 'c1500 suburban 2wd',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '24',
  'class': '2seater',
  'cty': '16',
  'cyl': '8',
  'displ': '5.7',
  'drv': 'r',
  'fl': 'p',
  'hwy': '26',
  'manufacturer': 'chevrolet',
  'model': 'corvette',
  'trans': 'manual(m6)',
  'year': '1999'},
 {'': '25',
  'class': '2seater',
  'cty': '15',
  'cyl': '8',
  'displ': '5.7',
  'drv': 'r',
  'fl': 'p',
  'hwy': '23',
  'manufacturer': 'chevrolet',
  'model': 'corvette',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '26',
  'class': '2seater',
  'cty': '16',
  'cyl': '8',
  'displ': '6.2',
  'drv': 'r',
  'fl': 'p',
  'hwy': '26',
  'manufacturer': 'chevrolet',
  'model': 'corvette',
  'trans': 'manual(m6)',
  'year': '2008'},
 {'': '27',
  'class': '2seater',
  'cty': '15',
  'cyl': '8',
  'displ': '6.2',
  'drv': 'r',
  'fl': 'p',
  'hwy': '25',
  'manufacturer': 'chevrolet',
  'model': 'corvette',
  'trans': 'auto(s6)',
  'year': '2008'},
 {'': '28',
  'class': '2seater',
  'cty': '15',
  'cyl': '8',
  'displ': '7',
  'drv': 'r',
  'fl': 'p',
  'hwy': '24',
  'manufacturer': 'chevrolet',
  'model': 'corvette',
  'trans': 'manual(m6)',
  'year': '2008'},
 {'': '29',
  'class': 'suv',
  'cty': '14',
  'cyl': '8',
  'displ': '5.3',
  'drv': '4',
  'fl': 'r',
  'hwy': '19',
  'manufacturer': 'chevrolet',
  'model': 'k1500 tahoe 4wd',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '30',
  'class': 'suv',
  'cty': '11',
  'cyl': '8',
  'displ': '5.3',
  'drv': '4',
  'fl': 'e',
  'hwy': '14',
  'manufacturer': 'chevrolet',
  'model': 'k1500 tahoe 4wd',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '31',
  'class': 'suv',
  'cty': '11',
  'cyl': '8',
  'displ': '5.7',
  'drv': '4',
  'fl': 'r',
  'hwy': '15',
  'manufacturer': 'chevrolet',
  'model': 'k1500 tahoe 4wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '32',
  'class': 'suv',
  'cty': '14',
  'cyl': '8',
  'displ': '6.5',
  'drv': '4',
  'fl': 'd',
  'hwy': '17',
  'manufacturer': 'chevrolet',
  'model': 'k1500 tahoe 4wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '33',
  'class': 'midsize',
  'cty': '19',
  'cyl': '4',
  'displ': '2.4',
  'drv': 'f',
  'fl': 'r',
  'hwy': '27',
  'manufacturer': 'chevrolet',
  'model': 'malibu',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '34',
  'class': 'midsize',
  'cty': '22',
  'cyl': '4',
  'displ': '2.4',
  'drv': 'f',
  'fl': 'r',
  'hwy': '30',
  'manufacturer': 'chevrolet',
  'model': 'malibu',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '35',
  'class': 'midsize',
  'cty': '18',
  'cyl': '6',
  'displ': '3.1',
  'drv': 'f',
  'fl': 'r',
  'hwy': '26',
  'manufacturer': 'chevrolet',
  'model': 'malibu',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '36',
  'class': 'midsize',
  'cty': '18',
  'cyl': '6',
  'displ': '3.5',
  'drv': 'f',
  'fl': 'r',
  'hwy': '29',
  'manufacturer': 'chevrolet',
  'model': 'malibu',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '37',
  'class': 'midsize',
  'cty': '17',
  'cyl': '6',
  'displ': '3.6',
  'drv': 'f',
  'fl': 'r',
  'hwy': '26',
  'manufacturer': 'chevrolet',
  'model': 'malibu',
  'trans': 'auto(s6)',
  'year': '2008'},
 {'': '38',
  'class': 'minivan',
  'cty': '18',
  'cyl': '4',
  'displ': '2.4',
  'drv': 'f',
  'fl': 'r',
  'hwy': '24',
  'manufacturer': 'dodge',
  'model': 'caravan 2wd',
  'trans': 'auto(l3)',
  'year': '1999'},
 {'': '39',
  'class': 'minivan',
  'cty': '17',
  'cyl': '6',
  'displ': '3',
  'drv': 'f',
  'fl': 'r',
  'hwy': '24',
  'manufacturer': 'dodge',
  'model': 'caravan 2wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '40',
  'class': 'minivan',
  'cty': '16',
  'cyl': '6',
  'displ': '3.3',
  'drv': 'f',
  'fl': 'r',
  'hwy': '22',
  'manufacturer': 'dodge',
  'model': 'caravan 2wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '41',
  'class': 'minivan',
  'cty': '16',
  'cyl': '6',
  'displ': '3.3',
  'drv': 'f',
  'fl': 'r',
  'hwy': '22',
  'manufacturer': 'dodge',
  'model': 'caravan 2wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '42',
  'class': 'minivan',
  'cty': '17',
  'cyl': '6',
  'displ': '3.3',
  'drv': 'f',
  'fl': 'r',
  'hwy': '24',
  'manufacturer': 'dodge',
  'model': 'caravan 2wd',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '43',
  'class': 'minivan',
  'cty': '17',
  'cyl': '6',
  'displ': '3.3',
  'drv': 'f',
  'fl': 'r',
  'hwy': '24',
  'manufacturer': 'dodge',
  'model': 'caravan 2wd',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '44',
  'class': 'minivan',
  'cty': '11',
  'cyl': '6',
  'displ': '3.3',
  'drv': 'f',
  'fl': 'e',
  'hwy': '17',
  'manufacturer': 'dodge',
  'model': 'caravan 2wd',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '45',
  'class': 'minivan',
  'cty': '15',
  'cyl': '6',
  'displ': '3.8',
  'drv': 'f',
  'fl': 'r',
  'hwy': '22',
  'manufacturer': 'dodge',
  'model': 'caravan 2wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '46',
  'class': 'minivan',
  'cty': '15',
  'cyl': '6',
  'displ': '3.8',
  'drv': 'f',
  'fl': 'r',
  'hwy': '21',
  'manufacturer': 'dodge',
  'model': 'caravan 2wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '47',
  'class': 'minivan',
  'cty': '16',
  'cyl': '6',
  'displ': '3.8',
  'drv': 'f',
  'fl': 'r',
  'hwy': '23',
  'manufacturer': 'dodge',
  'model': 'caravan 2wd',
  'trans': 'auto(l6)',
  'year': '2008'},
 {'': '48',
  'class': 'minivan',
  'cty': '16',
  'cyl': '6',
  'displ': '4',
  'drv': 'f',
  'fl': 'r',
  'hwy': '23',
  'manufacturer': 'dodge',
  'model': 'caravan 2wd',
  'trans': 'auto(l6)',
  'year': '2008'},
 {'': '49',
  'class': 'pickup',
  'cty': '15',
  'cyl': '6',
  'displ': '3.7',
  'drv': '4',
  'fl': 'r',
  'hwy': '19',
  'manufacturer': 'dodge',
  'model': 'dakota pickup 4wd',
  'trans': 'manual(m6)',
  'year': '2008'},
 {'': '50',
  'class': 'pickup',
  'cty': '14',
  'cyl': '6',
  'displ': '3.7',
  'drv': '4',
  'fl': 'r',
  'hwy': '18',
  'manufacturer': 'dodge',
  'model': 'dakota pickup 4wd',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '51',
  'class': 'pickup',
  'cty': '13',
  'cyl': '6',
  'displ': '3.9',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'dodge',
  'model': 'dakota pickup 4wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '52',
  'class': 'pickup',
  'cty': '14',
  'cyl': '6',
  'displ': '3.9',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'dodge',
  'model': 'dakota pickup 4wd',
  'trans': 'manual(m5)',
  'year': '1999'},
 {'': '53',
  'class': 'pickup',
  'cty': '14',
  'cyl': '8',
  'displ': '4.7',
  'drv': '4',
  'fl': 'r',
  'hwy': '19',
  'manufacturer': 'dodge',
  'model': 'dakota pickup 4wd',
  'trans': 'auto(l5)',
  'year': '2008'},
 {'': '54',
  'class': 'pickup',
  'cty': '14',
  'cyl': '8',
  'displ': '4.7',
  'drv': '4',
  'fl': 'r',
  'hwy': '19',
  'manufacturer': 'dodge',
  'model': 'dakota pickup 4wd',
  'trans': 'auto(l5)',
  'year': '2008'},
 {'': '55',
  'class': 'pickup',
  'cty': '9',
  'cyl': '8',
  'displ': '4.7',
  'drv': '4',
  'fl': 'e',
  'hwy': '12',
  'manufacturer': 'dodge',
  'model': 'dakota pickup 4wd',
  'trans': 'auto(l5)',
  'year': '2008'},
 {'': '56',
  'class': 'pickup',
  'cty': '11',
  'cyl': '8',
  'displ': '5.2',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'dodge',
  'model': 'dakota pickup 4wd',
  'trans': 'manual(m5)',
  'year': '1999'},
 {'': '57',
  'class': 'pickup',
  'cty': '11',
  'cyl': '8',
  'displ': '5.2',
  'drv': '4',
  'fl': 'r',
  'hwy': '15',
  'manufacturer': 'dodge',
  'model': 'dakota pickup 4wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '58',
  'class': 'suv',
  'cty': '13',
  'cyl': '6',
  'displ': '3.9',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'dodge',
  'model': 'durango 4wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '59',
  'class': 'suv',
  'cty': '13',
  'cyl': '8',
  'displ': '4.7',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'dodge',
  'model': 'durango 4wd',
  'trans': 'auto(l5)',
  'year': '2008'},
 {'': '60',
  'class': 'suv',
  'cty': '9',
  'cyl': '8',
  'displ': '4.7',
  'drv': '4',
  'fl': 'e',
  'hwy': '12',
  'manufacturer': 'dodge',
  'model': 'durango 4wd',
  'trans': 'auto(l5)',
  'year': '2008'},
 {'': '61',
  'class': 'suv',
  'cty': '13',
  'cyl': '8',
  'displ': '4.7',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'dodge',
  'model': 'durango 4wd',
  'trans': 'auto(l5)',
  'year': '2008'},
 {'': '62',
  'class': 'suv',
  'cty': '11',
  'cyl': '8',
  'displ': '5.2',
  'drv': '4',
  'fl': 'r',
  'hwy': '16',
  'manufacturer': 'dodge',
  'model': 'durango 4wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '63',
  'class': 'suv',
  'cty': '13',
  'cyl': '8',
  'displ': '5.7',
  'drv': '4',
  'fl': 'r',
  'hwy': '18',
  'manufacturer': 'dodge',
  'model': 'durango 4wd',
  'trans': 'auto(l5)',
  'year': '2008'},
 {'': '64',
  'class': 'suv',
  'cty': '11',
  'cyl': '8',
  'displ': '5.9',
  'drv': '4',
  'fl': 'r',
  'hwy': '15',
  'manufacturer': 'dodge',
  'model': 'durango 4wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '65',
  'class': 'pickup',
  'cty': '12',
  'cyl': '8',
  'displ': '4.7',
  'drv': '4',
  'fl': 'r',
  'hwy': '16',
  'manufacturer': 'dodge',
  'model': 'ram 1500 pickup 4wd',
  'trans': 'manual(m6)',
  'year': '2008'},
 {'': '66',
  'class': 'pickup',
  'cty': '9',
  'cyl': '8',
  'displ': '4.7',
  'drv': '4',
  'fl': 'e',
  'hwy': '12',
  'manufacturer': 'dodge',
  'model': 'ram 1500 pickup 4wd',
  'trans': 'auto(l5)',
  'year': '2008'},
 {'': '67',
  'class': 'pickup',
  'cty': '13',
  'cyl': '8',
  'displ': '4.7',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'dodge',
  'model': 'ram 1500 pickup 4wd',
  'trans': 'auto(l5)',
  'year': '2008'},
 {'': '68',
  'class': 'pickup',
  'cty': '13',
  'cyl': '8',
  'displ': '4.7',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'dodge',
  'model': 'ram 1500 pickup 4wd',
  'trans': 'auto(l5)',
  'year': '2008'},
 {'': '69',
  'class': 'pickup',
  'cty': '12',
  'cyl': '8',
  'displ': '4.7',
  'drv': '4',
  'fl': 'r',
  'hwy': '16',
  'manufacturer': 'dodge',
  'model': 'ram 1500 pickup 4wd',
  'trans': 'manual(m6)',
  'year': '2008'},
 {'': '70',
  'class': 'pickup',
  'cty': '9',
  'cyl': '8',
  'displ': '4.7',
  'drv': '4',
  'fl': 'e',
  'hwy': '12',
  'manufacturer': 'dodge',
  'model': 'ram 1500 pickup 4wd',
  'trans': 'manual(m6)',
  'year': '2008'},
 {'': '71',
  'class': 'pickup',
  'cty': '11',
  'cyl': '8',
  'displ': '5.2',
  'drv': '4',
  'fl': 'r',
  'hwy': '15',
  'manufacturer': 'dodge',
  'model': 'ram 1500 pickup 4wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '72',
  'class': 'pickup',
  'cty': '11',
  'cyl': '8',
  'displ': '5.2',
  'drv': '4',
  'fl': 'r',
  'hwy': '16',
  'manufacturer': 'dodge',
  'model': 'ram 1500 pickup 4wd',
  'trans': 'manual(m5)',
  'year': '1999'},
 {'': '73',
  'class': 'pickup',
  'cty': '13',
  'cyl': '8',
  'displ': '5.7',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'dodge',
  'model': 'ram 1500 pickup 4wd',
  'trans': 'auto(l5)',
  'year': '2008'},
 {'': '74',
  'class': 'pickup',
  'cty': '11',
  'cyl': '8',
  'displ': '5.9',
  'drv': '4',
  'fl': 'r',
  'hwy': '15',
  'manufacturer': 'dodge',
  'model': 'ram 1500 pickup 4wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '75',
  'class': 'suv',
  'cty': '11',
  'cyl': '8',
  'displ': '4.6',
  'drv': 'r',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'ford',
  'model': 'expedition 2wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '76',
  'class': 'suv',
  'cty': '11',
  'cyl': '8',
  'displ': '5.4',
  'drv': 'r',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'ford',
  'model': 'expedition 2wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '77',
  'class': 'suv',
  'cty': '12',
  'cyl': '8',
  'displ': '5.4',
  'drv': 'r',
  'fl': 'r',
  'hwy': '18',
  'manufacturer': 'ford',
  'model': 'expedition 2wd',
  'trans': 'auto(l6)',
  'year': '2008'},
 {'': '78',
  'class': 'suv',
  'cty': '14',
  'cyl': '6',
  'displ': '4',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'ford',
  'model': 'explorer 4wd',
  'trans': 'auto(l5)',
  'year': '1999'},
 {'': '79',
  'class': 'suv',
  'cty': '15',
  'cyl': '6',
  'displ': '4',
  'drv': '4',
  'fl': 'r',
  'hwy': '19',
  'manufacturer': 'ford',
  'model': 'explorer 4wd',
  'trans': 'manual(m5)',
  'year': '1999'},
 {'': '80',
  'class': 'suv',
  'cty': '14',
  'cyl': '6',
  'displ': '4',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'ford',
  'model': 'explorer 4wd',
  'trans': 'auto(l5)',
  'year': '1999'},
 {'': '81',
  'class': 'suv',
  'cty': '13',
  'cyl': '6',
  'displ': '4',
  'drv': '4',
  'fl': 'r',
  'hwy': '19',
  'manufacturer': 'ford',
  'model': 'explorer 4wd',
  'trans': 'auto(l5)',
  'year': '2008'},
 {'': '82',
  'class': 'suv',
  'cty': '13',
  'cyl': '8',
  'displ': '4.6',
  'drv': '4',
  'fl': 'r',
  'hwy': '19',
  'manufacturer': 'ford',
  'model': 'explorer 4wd',
  'trans': 'auto(l6)',
  'year': '2008'},
 {'': '83',
  'class': 'suv',
  'cty': '13',
  'cyl': '8',
  'displ': '5',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'ford',
  'model': 'explorer 4wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '84',
  'class': 'pickup',
  'cty': '14',
  'cyl': '6',
  'displ': '4.2',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'ford',
  'model': 'f150 pickup 4wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '85',
  'class': 'pickup',
  'cty': '14',
  'cyl': '6',
  'displ': '4.2',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'ford',
  'model': 'f150 pickup 4wd',
  'trans': 'manual(m5)',
  'year': '1999'},
 {'': '86',
  'class': 'pickup',
  'cty': '13',
  'cyl': '8',
  'displ': '4.6',
  'drv': '4',
  'fl': 'r',
  'hwy': '16',
  'manufacturer': 'ford',
  'model': 'f150 pickup 4wd',
  'trans': 'manual(m5)',
  'year': '1999'},
 {'': '87',
  'class': 'pickup',
  'cty': '13',
  'cyl': '8',
  'displ': '4.6',
  'drv': '4',
  'fl': 'r',
  'hwy': '16',
  'manufacturer': 'ford',
  'model': 'f150 pickup 4wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '88',
  'class': 'pickup',
  'cty': '13',
  'cyl': '8',
  'displ': '4.6',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'ford',
  'model': 'f150 pickup 4wd',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '89',
  'class': 'pickup',
  'cty': '11',
  'cyl': '8',
  'displ': '5.4',
  'drv': '4',
  'fl': 'r',
  'hwy': '15',
  'manufacturer': 'ford',
  'model': 'f150 pickup 4wd',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '90',
  'class': 'pickup',
  'cty': '13',
  'cyl': '8',
  'displ': '5.4',
  'drv': '4',
  'fl': 'r',
  'hwy': '17',
  'manufacturer': 'ford',
  'model': 'f150 pickup 4wd',
  'trans': 'auto(l4)',
  'year': '2008'},
 {'': '91',
  'class': 'subcompact',
  'cty': '18',
  'cyl': '6',
  'displ': '3.8',
  'drv': 'r',
  'fl': 'r',
  'hwy': '26',
  'manufacturer': 'ford',
  'model': 'mustang',
  'trans': 'manual(m5)',
  'year': '1999'},
 {'': '92',
  'class': 'subcompact',
  'cty': '18',
  'cyl': '6',
  'displ': '3.8',
  'drv': 'r',
  'fl': 'r',
  'hwy': '25',
  'manufacturer': 'ford',
  'model': 'mustang',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '93',
  'class': 'subcompact',
  'cty': '17',
  'cyl': '6',
  'displ': '4',
  'drv': 'r',
  'fl': 'r',
  'hwy': '26',
  'manufacturer': 'ford',
  'model': 'mustang',
  'trans': 'manual(m5)',
  'year': '2008'},
 {'': '94',
  'class': 'subcompact',
  'cty': '16',
  'cyl': '6',
  'displ': '4',
  'drv': 'r',
  'fl': 'r',
  'hwy': '24',
  'manufacturer': 'ford',
  'model': 'mustang',
  'trans': 'auto(l5)',
  'year': '2008'},
 {'': '95',
  'class': 'subcompact',
  'cty': '15',
  'cyl': '8',
  'displ': '4.6',
  'drv': 'r',
  'fl': 'r',
  'hwy': '21',
  'manufacturer': 'ford',
  'model': 'mustang',
  'trans': 'auto(l4)',
  'year': '1999'},
 {'': '96',
  'class': 'subcompact',
  'cty': '15',
  'cyl': '8',
  'displ': '4.6',
  'drv': 'r',
  'fl': 'r',
  'hwy': '22',
  'manufacturer': 'ford',
  'model': 'mustang',
  'trans': 'manual(m5)',
  'year': '1999'}
